[337036,271997] [326994,276062]
[128899,111012] [137164,103991]
[265997,840005] [270093,829959]
[436007,599934] [426993,606012]
[376941,774961] [381138,785016]
[828952,851013] [838033,844954]
[728993,893041] [735016,883915]
[803055,439033] [793899,432992]
[315060,575001] [308943,565870]
[151002,423484] [139995,423550]
[985006,447994] [984790,459001]
[744997,840917] [756009,840835]
[938121,881004] [937824,869989]
[568987,797209] [580011,796946]
[191763,973994] [192599,985008]
[695908,624006] [697045,612992]
[902998,153754] [914007,155005]
[297066,416995] [295971,428035]
[850998,398077] [862027,396853]
[802230,99009] [800953,87983]
[704983,930975] [716033,932079]
[309768,616014] [311020,604977]
[262977,135013] [274004,133606]
[610029,495027] [607898,483989]
[939986,544133] [951037,541959]
[947910,124025] [950021,112955]
[724000,981845] [712988,984264]
[866122,949968] [863651,961005]
[624004,537007] [615963,528965]
[868967,391002] [877092,382992]
[366964,102085] [375082,93994]
[56990,890995] [64063,900046]
[965083,749989] [957999,759041]
[646945,982030] [654062,972982]
[337052,271038] [329951,261942]
[520970,940002] [531001,933979]
[409972,463020] [416004,452972]
[202985,634029] [213009,627957]
[828949,851976] [839015,858013]
[236993,551922] [248059,556068]
[12866,136057] [19020,125936]
[677002,969876] [664993,970307]
[978003,748805] [965983,749144]
[762662,655992] [763146,668014]
[512753,248995] [513089,261025]
[281965,827959] [291024,836034]
[917973,371052] [923026,359995]
[119968,152992] [129042,161110]
[385001,967000] [379827,955978]
[202910,634990] [208091,646025]
[624994,537045] [637013,534986]
[498876,970068] [508032,961983]
[858951,996042] [870033,990900]
[268008,426094] [255974,423890]
[239031,206133] [226968,203972]
[256023,652174] [243983,649824]
[557975,476959] [565093,487021]
[921051,544962] [910945,552042]
[881014,998021] [870882,990946]
[818130,610034] [810913,599955]
[792003,667208] [779999,663974]
[835071,356990] [831882,369020]
[68980,991905] [81038,995000]
[940223,851032] [936981,838994]
[58955,439045] [62109,426965]
[657942,141040] [669020,134981]
[344002,259996] [337942,271078]
[726947,401973] [733070,413025]
[99040,23010] [86999,18998]
[883996,662992] [896001,667200]
[736074,141988] [731961,154030]
[60043,926005] [55927,913950]
[678948,593113] [691038,588958]
[132969,472038] [142016,462962]
[514934,966950] [524004,976039]
[589918,798041] [599068,788983]
[454073,304987] [443980,313040]
[54039,345959] [45933,356040]
[383000,133012] [382876,119997]
[10922,757991] [11215,771011]
[424958,678996] [437026,684025]
[347992,88000] [359050,80950]
[405017,540968] [393965,548033]
[301988,363044] [313028,355953]
[384943,747975] [392050,759008]
[690951,650959] [693110,664029]
[330022,39012] [316988,35985]
[656001,343021] [642984,339907]
[430137,620006] [426951,606979]
[768891,22003] [772090,8976]
[66059,412984] [62880,426021]
[458993,618861] [472017,622130]
[175944,581994] [179151,595038]
[773991,270084] [786012,263992]
[472005,622983] [462994,633054]
[696868,824015] [703060,811999]
[44944,659969] [57044,666073]
[261966,45965] [272074,55007]
[321066,558829] [308987,565036]
[495053,764926] [484973,774033]
[805991,585996] [810015,599002]
[918017,866983] [909930,878000]
[935996,451029] [944001,439950]
[26975,66009] [31114,52961]
[543020,924964] [531990,933073]
[996009,152991] [991900,166069]
[441977,512027] [453075,503968]
[396050,572978] [387968,584089]
[967948,208078] [979047,199976]
[794075,791027] [782982,782886]
[532057,963992] [524991,976003]
[150004,432991] [144933,446002]
[600058,249964] [587996,257040]
[477024,414967] [471961,428012]
[487912,297002] [488094,282998]
[373002,31092] [358997,31273]
[446045,805002] [432997,799890]
[70933,631953] [83059,639013]
[159027,449010] [144998,446945]
[318982,870073] [333002,867947]
[455989,734036] [470016,731913]
[885015,337079] [873996,327972]
[236095,551975] [229998,565004]
[856043,61953] [849985,75007]
[867042,865062] [855938,855904]
[879884,647974] [883129,662014]
[278036,799976] [271905,813023]
[389979,932153] [402011,923965]
